13:59:07:196 | 315 | CSIO2_TX CH09 | EBFFE2CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 02 (FADEC3) | 03 (Normal)
13:59:07:196 | 315 | CSIO2_TX CH11 | EBFFE2CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 02 (FADEC3) | 03 (Normal)
13:59:07:196 | 315 | CSIO2_TX CH25 | EBFFE2CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 02 (FADEC3) | 03 (Normal)
13:59:07:196 | 315 | CSIO2_TX CH27 | EBFFE2CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 02 (FADEC3) | 03 (Normal)
13:59:07:197 | 104 | CSIO2_TX CH09 | E0000044 | RADIO_ALT_2 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:197 | 104 | CSIO2_TX CH11 | E0000044 | RADIO_ALT_2 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:197 | 104 | CSIO2_TX CH25 | E0000044 | RADIO_ALT_2 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:197 | 104 | CSIO2_TX CH27 | E0000044 | RADIO_ALT_2 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
13:59:07:204 | 365 | CSIO1_TX CH08 | E00000F5 | INERTIAL_VERTICAL_SPEED | Inertial Vertical Speed: 0 FeetPerMinute | 00 (Always) | 03 (Normal)
13:59:07:204 | 365 | CSIO1_TX CH10 | E00000F5 | INERTIAL_VERTICAL_SPEED | Inertial Vertical Speed: 0 FeetPerMinute | 00 (Always) | 03 (Normal)
13:59:07:204 | 365 | CSIO1_TX CH24 | E00000F5 | INERTIAL_VERTICAL_SPEED | Inertial Vertical Speed: 0 FeetPerMinute | 00 (Always) | 03 (Normal)
13:59:07:204 | 365 | CSIO1_TX CH26 | E00000F5 | INERTIAL_VERTICAL_SPEED | Inertial Vertical Speed: 0 FeetPerMinute | 00 (Always) | 03 (Normal)
13:59:07:205 | 330 | CSIO1_TX CH08 | E00000D8 | YAW_ANGLE_RATE | Yaw Angle Rate: 0 DegreesPerSecond | 00 (Always) | 03 (Normal)
