15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
15:12:11:129 | 344 | CSIO2_TX CH25 | 63FFC2E4 | N2_SELECTED_CORE_SPEED | N2 Core Speed: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
